"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2016","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,156,700",""
"SURVEY","2015","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,024,800",""
"SURVEY","2015","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,100,000",""
"SURVEY","2014","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,949,300",""
"SURVEY","2014","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","11,900,000",""
"SURVEY","2013","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,703,300",""
"SURVEY","2012","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,355,300",""
"SURVEY","2012","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,600,000",""
"SURVEY","2011","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,131,500",""
"SURVEY","2011","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,400,000",""
"SURVEY","2010","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,727,600",""
"SURVEY","2010","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,000,000",""
"SURVEY","2009","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,899,700",""
"SURVEY","2009","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","11,600,000",""
"SURVEY","2008","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,826,700",""
"SURVEY","2008","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,200,000",""
"SURVEY","2007","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,646,700",""
"SURVEY","2007","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,700,000",""
"SURVEY","2006","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","14,391,900",""
"SURVEY","2006","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,800,000",""
"SURVEY","2005","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","13,924,700",""
"SURVEY","2005","FIRST OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","12,200,000",""
