Report Date,Choice 600-900,Select 600-900
04/06/2026,388.04,388.37
04/03/2026,387.78,386.19
04/02/2026,389.58,387.70
04/01/2026,394.42,392.59
03/31/2026,395.49,392.93
03/30/2026,394.10,391.01
03/27/2026,392.97,389.87
03/26/2026,389.85,391.66
03/25/2026,391.69,395.49
03/24/2026,399.91,394.50
03/23/2026,399.13,393.83
03/20/2026,400.11,392.94
03/19/2026,400.30,392.45
03/18/2026,401.75,396.17
03/17/2026,403.31,396.72
03/16/2026,402.66,394.51
03/13/2026,397.92,391.54
03/12/2026,397.09,390.82
03/11/2026,396.70,389.25
03/10/2026,394.67,386.77
03/09/2026,391.29,383.62
03/06/2026,387.22,378.95
03/05/2026,386.89,380.61
03/04/2026,388.57,380.35
03/03/2026,388.05,378.58
03/02/2026,381.34,378.21
02/27/2026,379.84,374.31
02/26/2026,377.89,370.79
02/25/2026,379.23,367.07
02/24/2026,377.43,366.01
02/23/2026,369.22,364.31
02/20/2026,366.70,360.74
02/19/2026,365.17,359.79
02/18/2026,363.80,360.63
02/17/2026,364.76,360.22
02/16/2026,367.77,361.23
02/13/2026,364.47,363.42
02/12/2026,364.84,363.03
02/11/2026,365.92,362.58
02/10/2026,367.55,362.90
02/09/2026,367.76,365.35
02/06/2026,369.33,364.53
02/05/2026,367.25,360.37
02/04/2026,368.02,362.09
02/03/2026,370.71,367.23
02/02/2026,368.21,364.91
01/30/2026,365.56,361.94
01/29/2026,367.66,360.72
01/28/2026,369.74,363.57
01/27/2026,368.11,365.19
01/26/2026,368.90,367.12
01/23/2026,368.92,362.39
01/22/2026,367.45,361.73
01/21/2026,366.11,362.45
01/20/2026,364.76,359.84
01/19/2026,364.33,360.33
01/16/2026,362.38,360.19
01/15/2026,360.77,359.71
01/14/2026,358.53,357.65
01/13/2026,357.99,357.18
01/12/2026,357.11,358.05
01/09/2026,355.63,352.17
01/08/2026,356.79,352.06
01/07/2026,354.28,349.28
01/06/2026,351.25,351.08
01/05/2026,353.70,351.50
01/02/2026,349.97,346.92
12/31/2025,347.45,342.38
12/30/2025,348.20,343.16
12/29/2025,349.33,345.62
12/26/2025,351.21,343.80
12/24/2025,354.62,345.75
12/23/2025,355.77,349.59
12/22/2025,362.87,350.69
12/19/2025,361.63,346.02
12/18/2025,357.28,343.97
12/17/2025,356.09,346.43
12/16/2025,358.88,349.10
12/15/2025,359.46,347.30
12/12/2025,357.44,344.22
12/11/2025,358.11,343.46
12/10/2025,359.36,344.88
12/09/2025,361.04,348.03
12/08/2025,360.90,348.60
12/05/2025,361.20,347.39
12/04/2025,362.72,350.32
12/03/2025,363.81,353.12
12/02/2025,364.72,350.78
12/01/2025,368.89,357.88
11/28/2025,366.82,351.05
11/26/2025,368.28,355.51
11/25/2025,370.09,355.93
11/24/2025,370.49,355.51
11/21/2025,371.48,356.98
11/20/2025,371.28,354.18
11/19/2025,371.23,353.55
11/18/2025,371.95,354.95
11/17/2025,370.41,356.30
11/14/2025,370.73,354.24
11/13/2025,373.57,355.03
11/12/2025,374.45,359.94
11/11/2025,379.22,360.08
11/10/2025,377.32,359.70
11/07/2025,376.40,361.09
11/06/2025,377.97,360.76
11/05/2025,378.26,360.25
11/04/2025,377.58,361.25
11/03/2025,379.25,359.93
10/31/2025,378.13,358.65
10/30/2025,378.27,359.52
10/29/2025,381.38,361.79
10/28/2025,379.65,360.00
10/27/2025,377.88,361.66
10/24/2025,375.76,357.97
10/23/2025,373.14,354.74
10/22/2025,370.65,353.61
10/21/2025,371.93,352.57
10/20/2025,369.18,353.46
10/17/2025,366.77,350.27
10/16/2025,366.11,348.93
10/15/2025,366.48,349.16
10/14/2025,364.42,350.55
10/13/2025,363.91,349.75
10/10/2025,365.57,346.39
10/09/2025,365.22,344.33
10/08/2025,366.16,345.24
10/07/2025,365.97,348.88
10/06/2025,363.34,347.97
10/03/2025,362.27,345.38
10/02/2025,363.22,343.40
10/01/2025,368.47,346.89
09/30/2025,371.03,347.25
09/29/2025,370.68,348.89
09/26/2025,371.43,352.44
09/25/2025,371.97,353.45
09/24/2025,377.39,356.42
09/23/2025,380.80,359.90
09/22/2025,381.39,362.09
09/19/2025,382.05,359.92
09/18/2025,385.81,361.31
09/17/2025,388.18,366.37
09/16/2025,392.62,373.17
09/15/2025,398.53,378.80
09/12/2025,400.04,378.44
09/11/2025,400.79,379.95
09/10/2025,405.64,383.68
09/09/2025,407.67,386.96
09/08/2025,409.69,385.34
09/05/2025,410.76,385.19
09/04/2025,414.21,387.77
09/03/2025,416.01,387.73
09/02/2025,413.42,386.17
08/29/2025,415.41,390.00
08/28/2025,414.41,385.84
08/27/2025,411.84,387.71
08/26/2025,413.17,390.76
08/25/2025,408.49,385.38
08/22/2025,407.91,383.66
08/21/2025,407.86,383.60
08/20/2025,405.85,383.16
08/19/2025,407.20,379.76
08/18/2025,404.24,377.14
08/15/2025,400.57,370.76
08/14/2025,393.79,366.88
08/13/2025,390.49,367.96
08/12/2025,390.58,365.64
08/11/2025,381.52,359.61
08/08/2025,378.84,355.09
08/07/2025,378.94,353.75
08/06/2025,374.86,351.36
08/05/2025,369.94,345.94
08/04/2025,365.79,341.59
08/01/2025,363.22,340.50
07/31/2025,361.32,341.37
07/30/2025,361.99,340.91
07/29/2025,364.19,342.48
07/28/2025,367.73,346.85
07/25/2025,366.68,344.87
07/24/2025,368.09,347.00
07/23/2025,367.52,345.39
07/22/2025,372.50,347.94
07/21/2025,372.07,350.05
07/18/2025,373.55,351.49
07/17/2025,373.28,353.84
07/16/2025,372.85,357.91
07/15/2025,377.72,362.58
07/14/2025,377.07,364.58
07/11/2025,378.64,366.49
07/10/2025,384.66,370.86
07/09/2025,386.45,373.27
07/08/2025,393.04,378.46
07/07/2025,390.98,377.53
07/03/2025,389.75,378.44
07/02/2025,394.86,380.31
07/01/2025,395.60,380.06
06/30/2025,395.56,384.10
06/27/2025,396.49,382.93
06/26/2025,395.05,379.74
06/25/2025,394.94,376.29
06/24/2025,394.25,382.41
06/23/2025,390.22,383.10
06/20/2025,390.50,376.95
06/19/2025,393.79,374.59
06/18/2025,388.87,372.74
06/17/2025,386.51,372.54
06/16/2025,382.11,367.47
06/13/2025,377.88,363.50
06/12/2025,376.72,363.07
06/11/2025,374.76,360.75
06/10/2025,371.76,359.84
06/09/2025,367.25,358.93
06/06/2025,365.08,356.73
06/05/2025,366.85,356.61
06/04/2025,365.16,356.72
06/03/2025,365.44,356.52
06/02/2025,366.00,358.11
05/30/2025,366.34,356.65
05/29/2025,366.09,353.64
05/28/2025,365.42,351.74
05/27/2025,361.85,350.83
05/23/2025,361.55,351.32
05/22/2025,360.97,348.95
05/21/2025,359.59,348.28
05/20/2025,358.75,344.96
05/19/2025,354.81,344.11
05/16/2025,352.49,342.39
05/15/2025,349.90,339.18
05/14/2025,349.36,335.85
05/13/2025,350.10,334.47
05/12/2025,348.14,335.23
05/09/2025,345.97,331.17
05/08/2025,347.89,333.20
05/07/2025,346.15,334.00
05/06/2025,344.67,332.97
05/05/2025,343.57,328.07
05/02/2025,342.90,325.35
05/01/2025,343.17,324.28
04/30/2025,345.31,322.02
04/29/2025,348.26,323.82
04/28/2025,342.77,325.12
04/25/2025,336.48,320.11
04/24/2025,333.70,316.35
04/23/2025,331.97,314.52
04/22/2025,331.73,317.65
04/21/2025,333.52,318.77
04/18/2025,331.52,315.55
04/17/2025,332.90,316.39
04/16/2025,333.53,314.39
04/15/2025,335.43,315.24
04/14/2025,335.63,315.85
04/11/2025,334.22,313.96
04/10/2025,334.29,314.96
04/09/2025,337.86,320.61
04/08/2025,338.10,322.06
04/07/2025,339.50,319.30
04/04/2025,338.45,317.18
04/03/2025,338.37,317.84
04/02/2025,339.90,318.83
04/01/2025,342.22,322.07
03/31/2025,335.26,320.01
03/28/2025,332.82,318.68
03/27/2025,335.72,319.44
03/26/2025,338.30,316.53
03/25/2025,335.19,314.05
03/24/2025,327.10,313.58
03/21/2025,325.45,309.62
03/20/2025,328.06,309.36
03/19/2025,329.61,308.68
03/18/2025,323.32,309.23
03/17/2025,321.16,307.90
03/14/2025,318.27,306.32
03/13/2025,319.69,307.47
03/12/2025,321.10,307.53
03/11/2025,321.20,306.86
03/10/2025,317.58,306.95
03/07/2025,314.90,305.80
03/06/2025,313.12,303.51
03/05/2025,313.54,302.53
03/04/2025,314.87,304.02
03/03/2025,313.93,302.41
02/28/2025,311.83,302.05
02/27/2025,311.18,302.13
02/26/2025,312.90,303.24
02/25/2025,314.32,304.13
02/24/2025,313.73,303.97
02/21/2025,310.77,302.56
02/20/2025,312.63,303.18
02/19/2025,313.89,303.76
02/18/2025,315.77,303.71
02/17/2025,315.70,306.23
02/14/2025,314.70,307.14
02/13/2025,317.40,309.84
02/12/2025,319.26,309.14
02/11/2025,322.46,312.21
02/10/2025,323.50,313.92
02/07/2025,321.87,312.90
02/06/2025,323.98,314.77
02/05/2025,325.34,314.33
02/04/2025,330.73,317.41
02/03/2025,331.99,319.84
01/31/2025,327.68,317.07
01/30/2025,327.48,315.90
01/29/2025,330.54,320.67
01/28/2025,332.45,321.96
01/27/2025,330.08,320.55
01/24/2025,327.92,316.29
01/23/2025,330.96,317.21
01/22/2025,332.02,317.99
01/21/2025,332.05,319.55
01/20/2025,333.16,319.44
01/17/2025,333.69,319.83
01/16/2025,333.41,319.38
01/15/2025,334.14,318.04
01/14/2025,332.98,318.71
01/13/2025,333.35,317.57
01/10/2025,332.84,314.14
01/09/2025,330.78,308.35
01/08/2025,328.61,306.89
01/07/2025,325.79,305.43
01/06/2025,327.10,303.33
01/03/2025,325.24,296.72
01/02/2025,323.48,294.23
12/31/2024,324.22,294.52
12/30/2024,325.37,294.76
12/27/2024,322.38,291.13
12/26/2024,320.39,288.77
12/23/2024,315.98,286.75
12/20/2024,315.85,285.91
12/19/2024,320.69,284.11
12/18/2024,314.84,285.55
12/17/2024,315.63,288.50
12/16/2024,317.37,289.57
12/13/2024,316.39,283.86
12/12/2024,315.24,280.48
12/11/2024,311.23,278.11
12/10/2024,311.73,279.65
12/09/2024,314.14,279.34
12/06/2024,312.04,276.73
12/05/2024,307.84,277.10
12/04/2024,308.33,277.70
12/03/2024,310.83,275.33
12/02/2024,313.01,277.00
11/29/2024,310.52,274.30
11/27/2024,311.26,274.30
11/26/2024,311.57,275.49
11/25/2024,309.71,273.74
11/22/2024,307.41,272.07
11/21/2024,306.79,272.92
11/20/2024,306.39,270.99
11/19/2024,308.79,271.91
11/18/2024,307.28,275.45
11/15/2024,303.34,276.14
11/14/2024,303.80,276.66
11/13/2024,306.94,278.66
11/12/2024,308.27,279.92
11/11/2024,308.21,281.84
11/08/2024,307.93,279.19
11/07/2024,309.46,279.72
11/06/2024,315.59,283.20
11/05/2024,317.21,285.24
11/04/2024,316.91,287.16
11/01/2024,316.34,285.03
10/31/2024,317.60,285.37
10/30/2024,319.44,289.32
10/29/2024,320.61,289.96
10/28/2024,323.50,292.18
10/25/2024,322.24,295.08
10/24/2024,321.17,294.34
10/23/2024,321.41,295.77
10/22/2024,323.96,294.80
10/21/2024,322.86,296.21
10/18/2024,320.65,294.20
10/17/2024,319.26,293.52
10/16/2024,319.13,292.37
10/15/2024,316.83,292.09
10/14/2024,313.32,289.10
10/11/2024,311.22,288.72
10/10/2024,309.95,290.73
10/09/2024,308.18,288.63
10/08/2024,306.84,288.61
10/07/2024,305.93,289.33
10/04/2024,302.58,287.61
10/03/2024,299.80,283.29
10/02/2024,299.81,283.93
10/01/2024,300.17,285.30
09/30/2024,298.08,284.53
09/27/2024,296.69,282.08
09/26/2024,296.37,282.37
09/25/2024,298.17,283.28
09/24/2024,301.89,286.87
09/23/2024,301.81,287.79
09/20/2024,300.19,288.59
09/19/2024,299.56,288.26
09/18/2024,301.38,289.75
09/17/2024,303.91,292.22
09/16/2024,304.57,292.14
09/13/2024,304.91,294.17
09/12/2024,307.18,295.64
09/11/2024,307.36,294.38
09/10/2024,308.23,297.01
09/09/2024,308.52,298.49
09/06/2024,309.41,296.12
09/05/2024,311.51,296.78
09/04/2024,311.60,299.39
09/03/2024,310.67,300.11
08/30/2024,309.34,295.82
08/29/2024,308.66,296.19
08/28/2024,307.29,297.63
08/27/2024,311.97,300.25
08/26/2024,315.90,300.19
08/23/2024,317.34,300.46
08/22/2024,315.99,302.03
08/21/2024,315.21,301.08
08/20/2024,315.08,301.04
08/19/2024,315.55,302.01
08/16/2024,317.45,302.59
08/15/2024,316.94,302.03
08/14/2024,314.88,300.50
08/13/2024,316.93,300.61
08/12/2024,315.83,300.17
08/09/2024,312.71,298.59
08/08/2024,312.12,298.03
08/07/2024,313.85,298.83
08/06/2024,315.81,299.62
08/05/2024,317.94,300.06
08/02/2024,313.77,297.17
08/01/2024,312.79,297.46
07/31/2024,314.77,300.16
07/30/2024,314.48,301.38
07/29/2024,314.81,301.52
07/26/2024,313.77,297.46
07/25/2024,312.46,295.11
07/24/2024,312.68,293.96
07/23/2024,313.21,296.66
07/22/2024,313.44,298.33
07/19/2024,313.83,298.80
07/18/2024,316.15,299.46
07/17/2024,318.16,298.44
07/16/2024,319.26,301.59
07/15/2024,321.49,304.82
07/12/2024,322.06,302.31
07/11/2024,321.65,303.38
07/10/2024,324.05,303.94
07/09/2024,325.66,304.31
07/08/2024,330.47,304.72
07/05/2024,330.43,305.06
07/03/2024,329.84,304.38
07/02/2024,330.39,306.48
07/01/2024,329.18,306.41
06/28/2024,326.32,304.50
06/27/2024,323.33,302.70
06/26/2024,322.85,302.86
06/25/2024,323.39,305.26
06/24/2024,322.64,305.07
06/21/2024,322.39,303.11
06/20/2024,322.87,304.40
06/19/2024,320.70,303.26
06/18/2024,320.52,304.21
06/17/2024,320.47,304.82
06/14/2024,319.89,303.81
06/13/2024,318.31,299.25
06/12/2024,317.60,298.93
06/11/2024,318.21,300.62
06/10/2024,317.42,301.04
06/07/2024,316.75,301.14
06/06/2024,316.21,300.83
06/05/2024,314.79,300.90
06/04/2024,316.88,304.47
06/03/2024,315.60,303.70
05/31/2024,313.20,301.71
05/30/2024,314.04,302.52
05/29/2024,313.62,302.48
05/28/2024,312.12,303.43
05/24/2024,310.45,301.72
05/23/2024,309.84,300.08
05/22/2024,312.17,299.61
05/21/2024,313.02,300.87
05/20/2024,312.70,299.35
05/17/2024,313.45,297.40
05/16/2024,310.15,296.51
05/15/2024,306.77,294.31
05/14/2024,304.39,293.82
05/13/2024,298.95,287.18
05/10/2024,294.57,284.17
05/09/2024,295.39,285.76
05/08/2024,296.67,288.25
05/07/2024,298.49,292.34
05/06/2024,298.76,289.75
05/03/2024,294.20,287.65
05/02/2024,292.90,287.98
05/01/2024,293.54,288.07
04/30/2024,294.37,289.95
04/29/2024,297.53,290.21
04/26/2024,297.14,288.72
04/25/2024,296.92,289.66
04/24/2024,295.74,290.42
04/23/2024,297.40,292.76
04/22/2024,295.93,291.87
04/19/2024,295.67,290.83
04/18/2024,295.80,289.27
04/17/2024,296.81,290.88
04/16/2024,298.02,292.64
04/15/2024,300.88,291.34
04/12/2024,300.57,295.54
04/11/2024,298.37,295.15
04/10/2024,298.23,296.02
04/09/2024,302.09,299.90
04/08/2024,302.07,300.27
04/05/2024,297.17,294.70
04/04/2024,297.15,296.05
04/03/2024,301.30,296.92
04/02/2024,304.16,298.99
04/01/2024,305.74,301.79
03/29/2024,306.72,303.43
03/28/2024,308.36,301.17
03/27/2024,308.58,298.43
03/26/2024,311.09,300.26
03/25/2024,310.89,301.96
03/22/2024,310.72,301.47
03/21/2024,313.73,303.73
03/20/2024,313.44,302.71
03/19/2024,313.22,303.18
03/18/2024,313.33,303.05
03/15/2024,311.90,302.40
03/14/2024,310.78,301.69
03/13/2024,309.82,301.04
03/12/2024,310.59,299.60
03/11/2024,308.88,298.88
03/08/2024,307.04,297.43
03/07/2024,306.61,296.26
03/06/2024,304.91,295.09
03/05/2024,304.79,294.87
03/04/2024,306.30,295.17
03/01/2024,305.28,295.74
02/29/2024,304.20,294.18
02/28/2024,303.03,292.94
02/27/2024,301.74,290.40
02/26/2024,301.79,287.99
02/23/2024,300.61,286.31
02/22/2024,299.79,285.81
02/21/2024,297.80,284.46
02/20/2024,297.37,287.82
02/19/2024,297.09,287.40
02/16/2024,296.20,286.66
02/15/2024,295.30,287.99
02/14/2024,294.00,284.02
02/13/2024,292.27,285.30
02/12/2024,294.08,287.02
02/09/2024,294.04,285.08
02/08/2024,295.01,284.12
02/07/2024,294.98,285.42
02/06/2024,294.07,284.60
02/05/2024,293.48,283.77
02/02/2024,293.08,283.47
02/01/2024,294.94,283.25
01/31/2024,294.54,284.17
01/30/2024,296.07,287.05
01/29/2024,299.42,288.82
01/26/2024,300.53,289.13
01/25/2024,298.68,287.85
01/24/2024,299.50,287.24
01/23/2024,301.66,288.38
01/22/2024,298.67,286.58
01/19/2024,295.50,283.05
01/18/2024,296.29,283.76
01/17/2024,298.45,283.02
01/16/2024,294.99,279.98
01/15/2024,291.42,272.56
01/12/2024,289.26,271.85
01/11/2024,285.89,269.94
01/10/2024,283.07,266.94
01/09/2024,280.16,262.83
01/08/2024,278.83,259.36
01/05/2024,277.16,259.53
01/04/2024,275.90,258.82
01/03/2024,278.03,258.85
01/02/2024,284.34,258.86
12/29/2023,289.71,260.33
12/28/2023,291.28,259.24
12/27/2023,291.48,260.32
12/26/2023,293.31,261.19
12/22/2023,292.93,261.15
12/21/2023,291.13,261.27
12/20/2023,289.13,261.60
12/19/2023,288.83,263.16
12/18/2023,288.93,263.72
12/15/2023,291.64,260.82
12/14/2023,292.32,258.26
12/13/2023,291.64,259.21
12/12/2023,292.78,258.66
12/11/2023,290.43,259.54
12/08/2023,288.01,257.90
12/07/2023,289.84,258.83
12/06/2023,290.56,259.90
12/05/2023,293.75,259.13
12/04/2023,294.99,262.83
12/01/2023,297.46,265.49
11/30/2023,299.02,264.75
11/29/2023,297.03,264.09
11/28/2023,298.17,266.35
11/27/2023,297.25,267.80
11/24/2023,298.03,268.76
11/22/2023,297.00,267.62
11/21/2023,295.81,268.77
11/20/2023,295.75,270.95
11/17/2023,293.87,270.70
11/16/2023,294.72,267.65
11/15/2023,296.33,267.85
11/14/2023,295.67,267.88
11/13/2023,297.85,269.24
11/10/2023,300.46,267.42
11/09/2023,299.42,269.42
11/08/2023,298.75,271.03
11/07/2023,300.38,269.48
11/06/2023,301.72,270.36
11/03/2023,302.34,272.01
11/02/2023,304.53,274.34
11/01/2023,302.18,278.55
10/31/2023,305.18,279.50
10/30/2023,309.28,280.89
10/27/2023,307.57,280.12
10/26/2023,306.85,279.69
10/25/2023,307.50,281.66
10/24/2023,305.98,284.00
10/23/2023,304.54,281.02
10/20/2023,305.38,278.70
10/19/2023,304.12,277.48
10/18/2023,303.86,278.35
10/17/2023,305.14,278.63
10/16/2023,304.67,277.20
10/13/2023,300.80,275.49
10/12/2023,301.19,275.02
10/11/2023,300.28,275.30
10/10/2023,301.06,276.15
10/09/2023,303.42,277.50
10/06/2023,302.01,275.78
10/05/2023,297.76,274.77
10/04/2023,296.76,274.87
10/03/2023,300.07,275.59
10/02/2023,303.08,276.98
09/29/2023,300.78,276.04
09/28/2023,301.51,277.44
09/27/2023,300.95,278.51
09/26/2023,299.54,279.10
09/25/2023,301.48,280.45
09/22/2023,303.33,280.43
09/21/2023,301.93,279.00
09/20/2023,301.26,278.68
09/19/2023,302.12,281.78
09/18/2023,305.32,283.41
09/15/2023,305.71,283.12
09/14/2023,306.37,286.86
09/13/2023,307.55,287.19
09/12/2023,308.03,283.78
09/11/2023,310.11,285.44
09/08/2023,312.90,286.05
09/07/2023,311.66,286.17
09/06/2023,313.57,287.61
09/05/2023,315.48,289.54
09/01/2023,314.49,290.29
08/31/2023,313.79,289.25
08/30/2023,315.11,289.53
08/29/2023,314.36,289.68
08/28/2023,317.04,292.09
08/25/2023,317.90,292.67
08/24/2023,317.63,291.91
08/23/2023,317.05,291.59
08/22/2023,317.05,289.51
08/21/2023,315.56,287.33
08/18/2023,316.11,288.36
08/17/2023,314.14,286.26
08/16/2023,308.99,284.77
08/15/2023,307.26,283.03
08/14/2023,305.50,280.45
08/11/2023,302.61,277.23
08/10/2023,302.03,277.80
08/09/2023,303.52,278.14
08/08/2023,302.39,276.16
08/07/2023,301.49,275.01
08/04/2023,301.79,276.48
08/03/2023,302.01,278.31
08/02/2023,303.18,277.47
08/01/2023,306.10,279.60
07/31/2023,301.78,277.73
07/28/2023,302.00,277.54
07/27/2023,302.86,279.76
07/26/2023,303.34,279.81
07/25/2023,304.22,277.55
07/24/2023,304.16,276.99
07/21/2023,302.74,276.73
07/20/2023,302.56,274.71
07/19/2023,303.59,275.96
07/18/2023,304.68,276.61
07/17/2023,306.78,275.74
07/14/2023,305.94,276.61
07/13/2023,306.91,280.18
07/12/2023,310.98,281.10
07/11/2023,312.12,280.24
07/10/2023,313.79,282.33
07/07/2023,316.90,285.63
07/06/2023,319.87,289.97
07/05/2023,322.78,292.69
07/03/2023,328.34,294.30
06/30/2023,327.72,293.63
06/29/2023,328.05,297.18
06/28/2023,327.90,296.68
06/27/2023,329.23,298.43
06/26/2023,333.04,299.67
06/23/2023,334.01,299.96
06/22/2023,334.47,303.80
06/21/2023,334.25,304.25
06/20/2023,336.91,307.93
06/19/2023,340.14,310.76
06/16/2023,343.09,310.95
06/15/2023,342.07,309.58
06/14/2023,339.06,309.26
06/13/2023,337.99,309.48
06/12/2023,337.43,310.24
06/09/2023,332.93,305.71
06/08/2023,328.73,304.10
06/07/2023,325.19,301.56
06/06/2023,321.40,299.44
06/05/2023,314.19,296.73
06/02/2023,309.93,290.93
06/01/2023,306.44,286.32
05/31/2023,305.84,287.15
05/30/2023,304.96,287.77
05/26/2023,303.93,284.92
05/25/2023,299.94,284.54
05/24/2023,298.30,283.79
05/23/2023,300.74,281.28
05/22/2023,303.90,283.43
05/19/2023,301.10,283.94
05/18/2023,298.31,283.61
05/17/2023,298.15,282.89
05/16/2023,299.47,284.35
05/15/2023,301.98,284.71
05/12/2023,304.61,284.68
05/11/2023,305.72,284.58
05/10/2023,306.87,284.54
05/09/2023,307.38,284.89
05/08/2023,308.56,285.12
05/05/2023,309.19,288.16
05/04/2023,309.52,287.49
05/03/2023,309.09,287.12
05/02/2023,309.24,288.66
05/01/2023,310.02,291.00
04/28/2023,311.44,288.34
04/27/2023,311.07,289.09
04/26/2023,309.24,287.94
04/25/2023,307.63,287.62
04/24/2023,307.12,288.70
04/21/2023,306.60,287.80
04/20/2023,306.99,288.74
04/19/2023,305.92,291.46
04/18/2023,307.06,291.61
04/17/2023,305.98,289.32
04/14/2023,302.62,283.87
04/13/2023,300.42,283.38
04/12/2023,298.48,281.81
04/11/2023,295.10,282.04
04/10/2023,292.91,278.40
04/07/2023,290.98,275.78
04/06/2023,289.65,276.63
04/05/2023,288.62,278.16
04/04/2023,287.94,277.95
04/03/2023,285.09,274.18
03/31/2023,282.07,270.72
03/30/2023,279.20,268.46
03/29/2023,280.29,268.90
03/28/2023,280.63,270.36
03/27/2023,280.36,269.72
03/24/2023,279.88,268.75
03/23/2023,282.78,268.89
03/22/2023,281.30,269.82
03/21/2023,279.92,271.55
03/20/2023,281.02,273.94
03/17/2023,283.35,272.44
03/16/2023,283.95,271.76
03/15/2023,284.27,272.63
03/14/2023,285.91,274.56
03/13/2023,284.86,273.62
03/10/2023,284.91,271.54
03/09/2023,284.60,276.05
03/08/2023,284.78,278.12
03/07/2023,287.93,277.49
03/06/2023,290.20,276.47
03/03/2023,289.32,276.86
03/02/2023,288.50,277.58
03/01/2023,287.83,276.43
02/28/2023,288.95,279.25
02/27/2023,288.34,279.25
02/24/2023,287.28,277.08
02/23/2023,287.91,275.87
02/22/2023,287.91,273.64
02/21/2023,287.20,270.84
02/20/2023,282.89,268.05
02/17/2023,281.04,265.89
02/16/2023,279.55,262.64
02/15/2023,275.67,261.19
02/14/2023,272.06,258.78
02/13/2023,269.95,256.21
02/10/2023,269.66,254.29
02/09/2023,269.29,254.01
02/08/2023,267.20,253.16
02/07/2023,266.72,257.33
02/06/2023,266.57,253.72
02/03/2023,264.74,251.61
02/02/2023,265.10,253.66
02/01/2023,265.07,252.78
01/31/2023,266.09,252.92
01/30/2023,268.10,251.52
01/27/2023,267.76,250.54
01/26/2023,268.75,251.48
01/25/2023,268.28,251.80
01/24/2023,269.64,252.39
01/23/2023,271.44,254.49
01/20/2023,271.72,256.43
01/19/2023,271.51,255.69
01/18/2023,274.08,253.86
01/17/2023,276.66,254.53
01/16/2023,277.43,256.55
01/13/2023,276.62,256.89
01/12/2023,277.49,257.01
01/11/2023,280.73,258.10
01/10/2023,284.53,258.33
01/09/2023,286.14,259.60
01/06/2023,282.99,259.34
01/05/2023,281.63,256.95
01/04/2023,282.89,256.40
01/03/2023,286.95,254.63
12/30/2022,281.98,250.93
12/29/2022,278.86,250.70
12/28/2022,279.41,247.28
12/27/2022,280.04,245.64
12/23/2022,271.95,245.47
12/22/2022,265.21,241.81
12/21/2022,264.86,236.29
12/20/2022,265.05,233.90
12/19/2022,263.83,238.57
12/16/2022,262.83,235.45
